sample nr,obs_well,well type,Depth,pH,EC,Redox,pE,NPOC,sulfate,ammonium,sulfide,methane,Fe II,Mn,Benzene,Toluene,Ethylbenzene,P/M Xylene,O Xylene,Cumene,Propylbenzene,M-Ethyltoluene,O-Ethyltoluene,"1,2,4-Trimethylbenzene","1,2,3-Trimethylbenzene",Indane,Indene,Naphthalene,metabolites_variety,metabolites_concentration
,,,m,,uS/cm,mV,,mg/L,mg/L,mg/L,mg/L,mg/L,ppm,ppm,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,,ug/L
2019-031-001,"A-32mm-52,5",dsn 32 mm,-52.5,7.31,149.8,-197,3.3293,6,203,20,0,0,12,1,6,2,5,3,3,0,0,0,0,1,1,6,3,38,3,0
2019-031-002,"A-32mm-65,5",dsn 32 mm,-65.5,7.35,147.8,-205,3.4645,7,166,15,0,0,5,1,4,1,14,8,5,1,0,1,0,2,1,12,3,69,4,0
2019-031-009,B-MLS1-3-12,MLS-1,-12,7.23,133.9,-208,3.5152,19,23,5,0,748,3,1,263,2,269,14,51,104,14,0,91,196,121,1254,41,2207,47,90
2019-031-011,"B-MLS1-5-15,5",MLS-1,-15.5,7.67,125.1,-231,3.9039,20,,6,0,2022,1,0,179,7,1690,751,253,101,20,144,61,314,147,1352,15,5410,47,589
2019-031-012,B-MLS1-6-17,MLS-1,-17,7.75,156.5,-252,4.2588,16,1,13,0,200,1,0,853,17,1286,528,214,89,28,83,59,284,134,1031,31,3879,43,674
2019-031-013,B-MLS1-7-19,MLS-1,-19,7.53,161.8,-317,5.3573,13,9,15,6,122,0,0,1254,10,1202,79,61,93,39,17,66,278,130,814,59,1970,41,514
2019-031-014,"B-MLS2-1-20,5",MLS-2,-20.5,7.34,159.4,-329,5.5601,12,5,16,9,91,0,0,219,4,1082,106,78,94,44,5,75,213,112,617,90,626,36,600
2019-031-018,B-MLS2-5-28,MLS-2,-28,7.25,149.8,-362,6.1178,9,79,19,15,7,0,0,50,7,292,38,72,56,22,14,41,169,80,101,290,745,23,15
2019-031-020,B-MLS2-7-31,MLS-2,-31,7.21,155.5,-571,9.6499,8,127,21,5,7,3,1,27,1,48,60,3,8,1,0,7,4,2,6,27,12,12,6
2019-031-004,B-32mm44-45,dsn 32 mm,-45,7.54,146.2,-187,3.1603,7,237,13,0,8,10,0,5,1,1,1,1,0,0,0,0,0,0,1,1,13,4,5
2019-031-006,B-32mm-63-64,dsn 32 mm,-64,7.39,72.6,-175,2.9575,4,39,2,0,22,6,1,5,0,2,1,0,0,0,0,0,0,0,2,0,10,11,8
2019-031-029,B2-MLS1-1-7,MLS-1,-7,7.09,141.9,-264,4.4616,19,176,0,1,2,11,1,206,7,237,231,104,45,25,128,39,319,145,86,944,7168,33,41
2019-031-031,"B2-MLS1-3-10,5",MLS-1,-10.5,7,130.8,-253,4.2757,15,42,1,0,2,6,1,155,2,67,86,2,19,22,0,18,1,49,158,7,21,20,101
2019-031-033,B2-MLS1-5-14,MLS-1,-14,7,115.1,-292,4.9348,18,88,3,1,2,2,1,221,25,896,523,324,99,26,171,61,367,177,416,1126,5693,27,16
2019-031-034,"B2-MLS1-6-15,5",MLS-1,-15.5,7.08,126.9,-244,4.1236,13,136,3,0,912,2,1,193,1,67,10,8,32,9,16,30,16,12,57,28,229,11,7
2019-031-036,B2-MLS2-1-20,MLS-2,-20,7.31,123.3,-227,3.8363,5,169,3,0,4,15,2,5,0,2,1,0,0,0,0,0,1,0,2,1,12,2,0
2019-031-039,B2-MLS2-4-43,MLS-2,-43,7.19,131.4,-183,3.0927,5,141,3,0,2,9,1,5,1,2,1,2,0,0,0,0,1,0,1,3,16,1,0
2019-031-028,"B2-32mm-64,5-65,5",dsn 40 mm,-65.5,7.66,131,-227,3.8363,5,209,0,0,2,9,0,4,1,14,8,5,1,0,1,0,2,1,12,3,69,1,0
2019-031-048,"C-MLS1-1-15,5",MLS-1,-15.5,7.7,138,-336,5.6784,,11,29,19,102,0,0,305,27,1320,552,437,37,5,74,20,133,67,1059,45,4797,36,354
2019-031-050,C-MLS1-3-19,MLS-1,-19,7.48,143.5,-277,4.6813,,,23,0,306,1,0,529,5,1138,455,337,31,5,119,35,139,67,1602,3,7626,33,431
2019-031-054,C-MLS1-7-26,MLS-1,-26,7.33,140.9,-314,5.3066,,14,28,28,42,0,0,400,22,1435,585,399,56,9,93,35,202,98,1185,194,5584,32,107
2019-031-044,"C-32mm-38,5-39",dsn 32 mm,-39,8.26,81.1,-334,5.6446,,10,12,0,75,2,0,2028,462,765,584,275,13,3,55,17,85,43,425,645,3122,32,84
2019-031-047,"C-32mm-45,5-46",dsn 32 mm,-46,7.52,165.9,-230,3.887,,28,30,0,126,8,0,2503,501,1430,1058,506,37,5,232,31,138,70,1343,115,5676,41,290
2019-031-059,Pb1,,"14,0-19,0",7.25,156.3,-182,3.0758,7.129,261.8531,10.3972,10.98660576,0.231544444,6.674644176,1.471619985,59.6,7.7,13.1,11.4,6.1,1.2,0.6,0.4,0.8,5,2.8,40.1,22,51.1,1,0
2019-031-062,60,,"68,0-72,0",7.31,78.1,-129,2.1801,4.535,25.6088,7.401,9.067663373,0.106866667,2.604516222,0.307938635,5.1,0.5,0.7,0.6,0.5,0.1,0.1,0.1,0,0.2,0.2,1.1,0.9,8.7,2,0
2019-031-063,BW205,,"43,0-45,0",7.29,105.1,-125,2.1125,5.181,0.34,9.4106,14.7402199,0.089055556,3.007522637,0.355276149,9.9,0.4,1.1,0.6,0.6,0.3,0.2,0.1,0.1,0.3,0.2,1.4,1,11.9,1,0
