# Data from McBride et al. (2002), NASA Glenn Coefficients for Calculating Thermodynamic Properties of Individual Species, No. 2002-211556 NASA
# https://ntrs.nasa.gov/citations/20020085330
# The Hill system is adopted and state refers to the JANAF convention for the state of aggregation
# Temperature ranges should be in ascending order
# Gases appear in the top section and condensed phases appear further down.
# Column names are as follows:
hill_formula state T_min T_max a1 a2 a3 a4 a5 a6 a7 b1 b2
O2 g 200 1000 -3.425563420e4 4.847000970e2 1.119010961 4.293889240e-3 -6.836300520e-7 -2.023372700e-9 1.039040018e-12 -3.391454870e3 1.849699470e1
O2 g 1000 6000 -1.037939022e6 2.344830282e3 1.819732036 1.267847582e-3 -2.188067988e-7 2.053719572e-11 -8.193467050e-16 -1.689010929e4 1.738716506e1
O2 g 6000 20000 4.975294300e8 -2.866106874e5 6.690352250e1 -6.169959020e-3 3.016396027e-7 -7.421416600e-12 7.278175770e-17 2.293554027e6 -5.530621610e2
O3 g 200 1000 -1.282314507e04 5.898216640e02 -2.547496763e00 2.690121526e-02 -3.528258340e-05 2.312290922e-08 -6.044893270e-12 1.348368701e04 3.852218580e01
O3 g 1000 6000 -3.869662480e07 1.023344994e05 -8.961551600e01 3.706144970e-02 -4.137638740e-06 -2.725018591e-10 5.248188110e-14 -6.517918180e05 7.029109520e02
OS g 200 1000 -3.342757000e4 6.403862500e2 -1.006641228 1.381512705e-2 -1.704486364e-5 1.061294930e-8 -2.645796205e-12 -3.371292190e3 3.093861963e1
OS g 1000 6000 -1.443410557e6 4.113874360e3 -5.383695780e-1 2.794153269e-3 -6.633352260e-7 7.838221190e-11 -3.560509070e-15 -2.708838059e4 3.615358329e1
O2S g 200 1000 -5.310842140e4 9.090311670e2 -2.356891244 2.204449885e-2 -2.510781471e-5 1.446300484e-8 -3.369070940e-12 -4.113752080e4 4.045512519e1
O2S g 1000 6000 -1.127640116e5 -8.252261380e2 7.616178630 -1.999327610e-4 5.655631430e-8 -5.454316610e-12 2.918294102e-16 -3.351308690e4 -1.655776085e1
O3S g 200 1000 -3.952855290e04 6.208572570e02 -1.437731716e00 2.764126467e-02 -3.144958662e-05 1.792798000e-08 -4.126386660e-12 -5.184106170e04 3.391331216e01
O3S g 1000 6000 -2.166923781e05 -1.301022399e03 1.096287985e01 -3.837100020e-04 8.466889040e-08 -9.705399290e-12 4.498397540e-16 -4.398283990e04 -3.655217314e01
OSi g 200 1000 -4.722771050e4 8.063137640e2 -1.636976133 1.454275546e-2 -1.723202046e-5 1.042397340e-8 -2.559365273e-12 -1.666585903e4 3.355795700e1
OSi g 1000 6000 -1.7651341625 -3.199177090e1 4.477441930 4.591764710e-6 3.558143150e-8 -1.327012559e-11 1.613253297e-15 -1.350842360e4 -8.386957330e-1
O2Si g 200 1000 -3.362948780e04 4.734078920e02 2.309770671e-01 1.850230806e-02 -2.242786671e-05 1.364981554e-08 -3.351935030e-12 -4.226487490e04 2.295803206e01
O2Si g 1000 6000 -1.464031193e05 -6.261441060e02 7.964563710e00 -1.854119096e-04 4.095214670e-08 -4.697206760e-12 2.178054280e-16 -3.791834770e04 -2.045285414e01
S2 g 200 1000 3.528091780e4 -4.222156580e2 4.677433490 1.724046361e-3 -3.862208210e-6 3.336156340e-9 -9.930661540e-13 1.654767715e4 -7.957279032e-1
S2 g 1000 6000 -1.588128788e4 6.315480880e2 2.449628069 1.986240565e-3 -6.507927240e-7 1.002813651e-10 -5.596990050e-15 1.085508427e4 1.458544515e1
Si g 200 1000 9.836140810e01 1.546544523e02 1.876436670e00 1.320637995e-03 -1.529720059e-06 8.950562770e-10 -1.952873490e-13 5.263510310e04 9.698288880e00
Si g 1000 6000 -6.169298850e05 2.240683927e03 -4.448619320e-01 1.710056321e-03 -4.107714160e-07 4.558884780e-11 -1.889515353e-15 3.953558760e04 2.679668061e01
Si g 6000 20000 -9.286548940e08 5.443989890e05 -1.206739736e02 1.359662698e-02 -7.606498660e-07 2.149746065e-11 -2.474116774e-16 -4.293792120e06 1.086382839e03
Xe g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e02 6.164454205e00
Xe g 1000 6000 4.025226680e03 -1.209507521e01 2.514153347e00 -8.248102080e-06 2.530232618e-09 -3.892333230e-13 2.360439138e-17 -6.685800730e02 6.063710715e00
Xe g 6000 20000 2.540397456e08 -1.105373774e05 1.382644099e01 1.500614606e-03 -3.935359030e-07 2.765790584e-11 -5.943990574e-16 9.285443830e05 -1.109834556e02
# --- Condensed ---
Al2O3 a 200 500 -5.391549970e6 1.036676983e5 -8.173229150e2 3.388258720e00 -7.512400360e-03 8.659248820e-06 -4.066085670e-09 -6.660134650e+05 4.235502230e+03
Al2O3 a 500 1200 -6.042087868e+05 0.000000000e+00 1.475480816e+01 8.272285438e-04 0.000000000e+00 0.000000000e+00 0.000000000e+00 -2.079235447e+05 -8.136029480e+01
Al2O3 a 1200 2327 0.000000000e+00 0.000000000e+00 1.293774378e+01 1.992781294e-03 0.000000000e+00 0.000000000e+00 0.000000000e+00 -2.060787581e+05 -6.966603728e+01
Al2O3 l 2327 6000 0.000000000e+00 0.000000000e+00 1.959225499e+01 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 -2.027701571e+05 -1.108590952e+02
C cr 200 600 1.132856760e5 -1.980421677e3 1.365384188e1 -4.636096440e-2 1.021333011e-4 -1.082893179e-7 4.472258860e-11 8.943859760e3 -7.295824740e1
C cr 600 2000 3.356004410e5 -2.596528368e3 6.948841910 -3.484836090e-3 1.844192445e-6 -5.055205960e-10 5.750639010e-14 1.398412456e4 -4.477183040e1
C cr 2000 6000 2.023105106e5 -1.138235908e3 3.700279500 -1.833807727e-4 6.343683250e-8 -7.068589480e-12 3.335435980e-16 5.848134850e3 -2.350925275e1
CaO cr 200 500 -4.775526940e+06 9.037711420e+04 -6.944320810e+02 2.802477174e+00 -6.129403220e-03 6.982167800e-06 -3.247543840e-09 -4.829411430e+05 3.619046320e+03
CaO cr 500 3172 -1.459376440e+05 0.000000000e+00 7.174205094e+00 -1.959947129e-03 1.291116374e-06 -2.077091735e-10 0.000000000e+00 -7.891525080e+04 -3.658562837e+01
CaO l 3172 6000 0.000000000e+00 0.000000000e+00 1.010282025e+01 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 -7.991857230e+04 -5.908720013e+01
# Extension below 298.15 is a fit to JANAF data
# Below is intentionally just less than 298.15 to ensure that the reference enthalpy is computed using the original McBride model fit
ClH4N cr 100 298.1499 0 -5.172495931126793e02 8.781198882486828e00 1.129216705734911e-02 0 0 0 -3.800615346677232e04 -4.372885943063882e01
ClH4N cr 298.15 457.7 1.593389657e5 0 -5.965854940 6.494193170e-2 -5.391456890e-5 0 0 -3.792881500e4 2.933013040e1
ClH4N cr 457.7 1000 -1.641820157e7 1.639262758e5 -6.654529630e2 1.447086973 -1.698254160e-3 1.056255415e-6 -2.697574651e-10 -8.787975900e5 3.897936900e3
ClH4N cr 1000 1500 8.409592660e8 -3.426760780e6 5.548091470e3 -4.435674300 1.772486202e-3 -2.817160120e-7 0 2.063363145e7 -3.765976360e4
FeO cr 298.15 1652 -1.179193966e+04 1.388393372e+02 2.999841854e+00 1.274527210e-02 -1.883886065e-05 1.274258345e-08 -3.042206479e-12 -3.417350500e+04 -1.284759120e+01
FeO l 1652 6000 0.000000000e+00 0.000000000e+00 8.147077819e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 -3.255080650e+04 -3.995344357e+01
H2O cr 200 273.15 -4.026777480e5 2.747887946e3 5.738336630e1 -8.267915240e-1 4.413087980e-3 -1.054251164e-5 9.694495970e-9 -5.530314990e4 -1.902572063e2
H2O l 273.15 373.15 1.326371304e9 -2.448295388e7 1.879428776e5 -7.678995050e2 1.761556813 -2.151167128e-3 1.092570813e-6 1.101760476e8 -9.779700970e5
H2O l 373.15 600 1.263631001e9 -1.680380249e7 9.278234790e4 -2.722373950e2 4.479243760e-1 -3.919397430e-4 1.425743266e-7 8.113176880e7 -5.134418080e5
H2O4S l 283.456 1000.0007 7.749933850e4 1.040538662e3 4.433804910 3.648845480e-2 -1.743440132e-5 1.175631937e-8 -3.170091690e-12 -1.068997367e5 -1.353966639e1
MgO cr 200 500 -8.980784570e+05 1.771245421e+04 -1.449325747e+02 6.397591100e-01 -1.458346800e-03 1.715467374e-06 -8.183482370e-10 -1.516290864e+05 7.439009690e+02
MgO cr 500 3100 -1.169521716e+05 0.000000000e+00 5.510366817e+00 1.085932905e-03 -4.866191754e-07 1.253230798e-10 0.000000000e+00 -7.443482720e+04 -2.911564935e+01
MgO l 3100 6000 0.000000000e+00 0.000000000e+00 1.010282025e+01 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 -7.609370840e+04 -6.076894048e+01
O2Si aqz 200 848.0007 -5.776895500e5 7.214661110e3 -3.145730294e1 7.412177150e-2 -8.670077820e-6 -1.080461312e-7 8.316324910e-11 -1.462398375e5 1.842424399e2
O2Si bqz 848 1200.0007 2.317635074e4 0 7.026511484e0 1.241925261e-3 0 0 0 -1.117012474e5 -3.580751356e1
O2Si bcrt 1200 1996.0007 -5.356419079e5 0.000000000e0 9.331036946e0 -7.306503931e-4 3.339944266e-7 0 0 -1.134326721e5 -4.998768383e1
O2Si l 1996 6000 0.0 0.0 1.004268442e1 0.0 0.0 0.0 0.0 -1.140002976e5 -5.554279592e1
S cr 200 368.3 -1.035710779e4 0.0 1.866766938 4.256140250e-3 -3.265252270e-06 0.0 0.0 -7.516389580e2 -7.961066980
S cr 368.3 388.36 0.0 0.0 2.080514131 2.440879557e-3 0.0 0.0 0.0 -6.852714730e2 -8.607846750
S l 388.36 428.15 -6.366550765e7 0.0 2.376860693e3 -7.888076026 7.376076522e-3 0.0 0.0 -6.356594920e5 -1.186929589e4
S l 428.15 432.25 0.0 0.0 6.928522306e3 -3.254655981e1 3.824448176e-2 0.0 0.0 -9.832222680e5 -3.154806751e4
S l 432.25 453.15 0.0 0.0 1.649945697e2 -6.843534977e-1 7.315907973e-4 0.0 0.0 -2.638846929e4 -7.681730097e2
S l 453.15 717 1.972984578e6 0.0 -2.441009753e1 6.090352889e-2 -3.744069103e-5 0.0 0.0 1.113013440e4 1.363174183e2
S l 717 6000 0.0 0.0 3.848693429 0.0 0.0 0.0 0.0 -8.284589830e2 -1.736128237e1
Si cr 200 298.15 -2.323538208e4 0.0 2.102021680 1.809220552e-3 0.0 0.0 0.0 -7.850635210e2 -1.038427318e1
Si cr 298.15 1690 -5.232559740e4 0.0 2.850169415 3.975166970e-4 0.0 0.0 0.0 -1.042947234e3 -1.438964187e1
Si l 1690 6000 0.0 0.0 3.271389414 0.0 0.0 0.0 0.0 4.882667110e3 -1.326611073e1
